City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
139,kaitangata,-46.2817,169.8464,51.37,62,100,8.59,NZ,1659324420
140,puerto ayora,-0.7393,-90.3518,70.56,93,90,5.01,EC,1659324420
141,vila do maio,15.1333,-23.2167,77.79,75,80,11.63,CV,1659324421
142,jamestown,42.097,-79.2353,69.71,50,40,4.61,US,1659324208
143,nizhniy odes,63.6445,54.856,61.48,58,99,7.92,RU,1659324421
144,dryden,49.7833,-92.7503,59.29,100,100,9.22,CA,1659324154
145,gondanglegi,-7.7479,112.0132,84.6,59,49,3.89,ID,1659324422
146,vao,-22.6667,167.4833,69.84,79,82,24.58,NC,1659324346
147,vila franca do campo,37.7167,-25.4333,70.21,86,0,2.89,PT,1659324423
148,esperance,-33.8667,121.9,57.04,48,70,21.27,AU,1659324424
149,dehloran,32.6941,47.2679,91.47,47,0,7.78,IR,1659324424
150,te anau,-45.4167,167.7167,44.82,93,100,7.2,NZ,1659324424
151,xunchang,28.4543,104.715,87.85,60,100,1.34,CN,1659324425
152,panzhihua,26.5851,101.7128,77.9,71,97,1.54,CN,1659324425
153,suez,29.9737,32.5263,74.68,86,1,7.11,EG,1659324425
154,vanimo,-2.6741,141.3028,86.79,64,82,8.23,PG,1659324426
155,salalah,17.0151,54.0924,77.09,88,75,4.61,OM,1659324426
156,luwingu,-10.2621,29.9271,53.13,68,0,4.32,ZM,1659324427
157,bethel,41.3712,-73.414,75.49,81,0,0.0,US,1659324146
158,camocim,-2.9022,-40.8411,76.51,86,27,11.18,BR,1659324427
159,dingle,10.9995,122.6711,84.22,72,100,3.85,PH,1659324222
160,clyde river,70.4692,-68.5914,35.83,100,100,3.44,CA,1659324428
161,beringovskiy,63.05,179.3167,50.38,62,100,3.98,RU,1659324428
162,manchar,19.0,73.9333,74.88,82,86,5.73,IN,1659324429
163,pacifica,37.6138,-122.4869,70.43,91,75,14.97,US,1659324429
164,bagdarin,54.4333,113.6,68.81,64,53,3.83,RU,1659324430
165,bhatkal,13.9667,74.5667,80.44,85,99,10.4,IN,1659324430
166,puerto el triunfo,13.2833,-88.55,80.37,80,83,3.38,SV,1659324430
167,pitimbu,-7.4706,-34.8086,73.99,81,97,11.34,BR,1659324431
168,winnemucca,40.973,-117.7357,93.25,8,0,0.0,US,1659324431
169,meadow lake,34.8014,-106.5436,81.12,35,89,5.84,US,1659324154
170,kang,-23.6752,22.7876,56.1,32,87,11.63,BW,1659324432
171,madoc,44.5084,-77.4745,68.72,90,63,2.86,CA,1659324432
172,saint-philippe,-21.3585,55.7679,66.22,78,50,10.47,RE,1659324433
173,pacific grove,36.6177,-121.9166,64.51,86,0,3.44,US,1659324433
174,estepa,37.2926,-4.879,70.29,78,0,6.33,ES,1659324434
175,ahipara,-35.1667,173.1667,57.94,56,15,6.87,NZ,1659324217
176,guangyuan,32.442,105.823,86.38,62,71,4.41,CN,1659324434
177,keti bandar,24.1447,67.4497,82.9,84,97,21.25,PK,1659324435
178,ibiruba,-28.6275,-53.0897,49.75,84,0,2.24,BR,1659324435
179,topolobampo,25.6,-109.05,83.73,64,87,4.05,MX,1659324435
180,shakawe,-18.3667,21.85,54.72,28,0,6.29,BW,1659324436
181,brae,60.3964,-1.353,51.98,82,94,11.16,GB,1659324436
182,marsh harbour,26.5412,-77.0636,83.39,74,75,13.94,BS,1659324437
183,laela,-8.5667,32.05,54.48,86,0,4.43,TZ,1659324437
184,east london,-33.0153,27.9116,49.14,66,0,8.05,ZA,1659324437
185,kanniyakumari,8.0833,77.5667,80.29,81,100,14.63,IN,1659324439
186,camana,-16.6228,-72.7111,58.87,84,37,6.15,PE,1659324439
187,grindavik,63.8424,-22.4338,48.15,87,75,6.91,IS,1659324440
188,tyazhinskiy,56.116,88.524,69.78,78,25,8.41,RU,1659324440
189,porangatu,-13.4408,-49.1486,72.1,27,0,2.86,BR,1659324441
190,porto torres,40.835,8.3972,68.18,73,0,3.62,IT,1659324441
191,alice springs,-23.7,133.8833,67.55,30,51,14.97,AU,1659324441
192,shadegan,30.6497,48.6647,89.55,62,21,6.58,IR,1659324442
193,torokszentmiklos,47.1833,20.4167,62.65,72,0,2.3,HU,1659324442
194,cantagallo,7.376,-73.9196,74.86,97,97,1.25,CO,1659324443
195,urdoma,61.7533,48.5442,60.49,95,50,3.33,RU,1659324443
196,taltal,-25.4,-70.4833,58.01,82,4,4.32,CL,1659324443
197,itaqui,-29.1253,-56.5531,54.09,83,0,7.31,BR,1659324444
198,lewistown,40.5992,-77.5714,69.87,100,100,0.0,US,1659324444
199,upernavik,72.7868,-56.1549,48.47,65,60,6.13,GL,1659324445
200,mamontovo,52.7055,81.6244,73.35,50,86,8.7,RU,1659324445
201,katherine,-14.4667,132.2667,88.12,29,16,10.36,AU,1659324446
202,sebinkarahisar,40.2883,38.4236,58.5,72,0,0.27,TR,1659324446
203,male,4.1748,73.5089,84.15,74,100,20.71,MV,1659324447
204,jaguey grande,22.5269,-81.1286,79.45,83,28,8.57,CU,1659324447
205,mar del plata,-38.0023,-57.5575,52.88,85,0,5.99,AR,1659324447
206,flinders,-34.5833,150.8552,67.17,45,2,11.99,AU,1659324448
207,kuzedeyevo,53.3308,87.2019,72.93,67,92,2.33,RU,1659324448
208,nikolskoye,59.7035,30.7861,57.79,79,100,4.0,RU,1659324449
209,nueve de julio,-35.4444,-60.8831,52.03,70,1,7.45,AR,1659324449
210,dunmore town,25.5,-76.65,83.35,78,87,18.03,BS,1659324450
211,nguruka,-5.1092,31.0419,65.43,72,19,2.77,TZ,1659324450
212,luderitz,-26.6481,15.1594,56.25,55,0,3.58,NA,1659324450
213,chornobay,49.6708,32.3239,65.19,56,100,9.8,UA,1659324451
214,krasnoselkup,65.7,82.4667,53.22,53,2,24.45,RU,1659324451
215,leninskoye,41.7589,69.3864,81.36,26,0,1.5,KZ,1659324452
216,zhigansk,66.7697,123.3711,72.81,60,52,5.55,RU,1659324452
217,eslamshahr,35.5605,51.2346,81.84,46,20,9.22,IR,1659324452
218,tonstad,58.6626,6.7169,47.7,93,40,5.57,NO,1659324453
219,gazalkent,41.5581,69.7708,81.12,25,0,3.06,UZ,1659324453
220,san patricio,28.017,-97.5169,84.88,66,40,12.39,US,1659324454
221,torbay,47.6666,-52.7314,66.88,81,20,17.27,CA,1659324207
222,macheng,31.1783,115.0319,89.44,59,0,3.53,CN,1659324454
223,sawtell,-30.3833,153.1,66.18,68,40,13.8,AU,1659324454
224,thunder bay,48.4001,-89.3168,60.78,100,100,5.75,CA,1659324455
225,havre-saint-pierre,50.2334,-63.5986,61.16,88,100,0.0,CA,1659324455
226,tokur,53.1333,132.9,65.66,92,100,2.93,RU,1659324456
227,chumikan,54.7183,135.315,54.03,99,100,8.63,RU,1659324456
228,victoria,22.2855,114.1577,94.24,72,100,4.0,HK,1659324210
229,abu dhabi,24.4667,54.3667,98.62,40,0,10.36,AE,1659324331
230,asfi,32.2994,-9.2372,75.31,79,71,18.41,MA,1659324457
231,saskylakh,71.9167,114.0833,46.02,74,100,10.18,RU,1659324457
232,sisimiut,66.9395,-53.6735,44.44,83,35,2.08,GL,1659324458
233,barcelona,41.3888,2.159,81.55,73,0,10.36,ES,1659324339
234,touros,-5.1989,-35.4608,75.65,86,89,13.11,BR,1659324458
235,viedma,-40.8135,-62.9967,44.92,70,100,5.93,AR,1659324346
236,kharan,28.5833,65.4167,86.67,53,0,8.7,PK,1659324459
237,bengkulu,-3.8004,102.2655,83.44,69,45,2.71,ID,1659324459
238,biak,-0.9131,122.8766,78.04,85,100,3.67,ID,1659324460
239,dogondoutchi,13.6393,4.0287,75.49,68,80,10.11,NE,1659324460
240,nuuk,64.1835,-51.7216,47.88,76,99,11.01,GL,1659324236
241,kieta,-6.2167,155.6333,85.37,68,66,6.8,PG,1659324461
242,atrauli,28.0333,78.2833,84.16,75,95,1.01,IN,1659324461
243,mporokoso,-9.3727,30.125,57.22,60,3,6.33,ZM,1659324461
244,yuzhnyy,53.2542,83.6936,71.98,56,0,15.66,RU,1659324462
245,sao filipe,14.8961,-24.4956,75.15,78,75,7.02,CV,1659324462
246,sechura,-5.5569,-80.8222,62.67,82,11,11.03,PE,1659324392
247,coquimbo,-29.9533,-71.3436,51.53,100,0,3.44,CL,1659324463
248,salisbury,51.0693,-1.7957,62.89,80,75,9.22,GB,1659324463
249,iquitos,-3.7481,-73.2472,78.84,94,75,4.61,PE,1659324464
250,catamarca,-28.4696,-65.7852,59.77,50,0,1.01,AR,1659324464
251,oktyabrskoye,43.0645,44.7417,62.74,94,1,6.71,RU,1659324464
252,makakilo city,21.3469,-158.0858,81.01,58,75,17.27,US,1659324465
253,umm lajj,25.0213,37.2685,83.88,55,45,4.94,SA,1659324465
254,altay,47.8667,88.1167,76.96,32,12,6.76,CN,1659324466
255,mao,39.8885,4.2658,75.76,78,0,8.05,ES,1659324466
256,hit,33.6416,42.8251,91.36,16,3,8.68,IQ,1659324466
257,chara,56.9064,118.2631,72.21,54,83,3.11,RU,1659324467
258,noumea,-22.2763,166.4572,75.18,99,99,11.92,NC,1659324467
259,chakulia,22.4833,86.7167,88.12,61,100,2.71,IN,1659324468
260,vardo,70.3705,31.1107,49.98,100,100,2.3,NO,1659324468
261,paamiut,61.994,-49.6678,46.47,87,100,4.32,GL,1659324468
262,klaksvik,62.2266,-6.589,50.34,84,75,11.63,FO,1659324469
263,tual,-5.6667,132.75,79.32,84,90,17.2,ID,1659324469
264,auki,-8.7676,160.7034,85.3,65,10,6.17,SB,1659324470
265,copiapo,-27.3667,-70.3333,51.49,67,2,1.79,CL,1659324470
266,igarka,67.4667,86.5833,54.46,53,0,18.32,RU,1659324470
267,itoman,26.1247,127.6694,84.22,82,75,12.66,JP,1659324471
268,verkhnyaya toyma,62.2349,44.9985,57.16,94,12,4.07,RU,1659324471
269,show low,34.2542,-110.0298,68.29,78,75,5.75,US,1659324404
270,vredendal,-31.6683,18.5012,47.08,54,0,6.76,ZA,1659324472
271,tilichiki,60.4667,166.1,57.29,65,27,8.55,RU,1659324473
272,taoudenni,22.6783,-3.9836,93.0,30,95,9.44,ML,1659324473
273,novyy urengoy,66.0833,76.6333,54.64,55,0,16.35,RU,1659324473
274,gojo,34.35,135.7,97.56,41,77,3.91,JP,1659324474
275,port macquarie,-31.4333,152.9167,66.88,55,100,4.68,AU,1659324474
276,mosquera,4.7059,-74.2302,53.69,87,40,4.61,CO,1659324475
277,tommot,58.9564,126.2925,70.75,82,100,4.79,RU,1659324475
278,bandarbeyla,9.4942,50.8122,77.16,69,48,24.9,SO,1659324475
279,thompson,55.7435,-97.8558,51.96,100,75,5.75,CA,1659324476
280,nioro,13.35,-15.75,70.83,94,100,8.93,GM,1659324341
281,timra,62.487,17.3257,61.68,94,75,3.44,SE,1659324476
282,pinhao,-25.6956,-51.6597,48.47,89,0,1.92,BR,1659324477
283,khatanga,71.9667,102.5,46.56,66,97,11.63,RU,1659324477
284,nanortalik,60.1432,-45.2371,45.72,94,90,5.95,GL,1659324478
285,abrau-dyurso,44.69,37.59,76.46,94,1,9.84,RU,1659324478
286,matelandia,-25.2408,-53.9964,57.7,66,10,3.71,BR,1659324478
287,praia,14.9215,-23.5087,77.54,73,75,11.5,CV,1659324479
288,stokmarknes,68.5646,14.9108,53.58,87,75,0.0,NO,1659324479
289,neepawa,50.2289,-99.4664,59.4,85,48,2.82,CA,1659324480
290,port blair,11.6667,92.75,86.04,74,40,9.22,IN,1659324480
291,santa ana,33.7456,-117.8678,85.26,68,40,5.75,US,1659324480
292,tura,25.5198,90.2201,73.92,98,100,5.17,IN,1659324481
293,faya,18.3851,42.4509,64.92,66,79,2.93,SA,1659324481
294,hambantota,6.1241,81.1185,80.94,94,75,11.5,LK,1659324481
295,tynset,62.2759,10.7824,46.02,96,100,7.87,NO,1659324482
296,katsuura,35.1333,140.3,87.48,71,88,13.87,JP,1659324482
297,lebane,42.9239,21.7375,57.79,76,0,2.21,RS,1659324483
298,alice town,25.7167,-79.3,84.34,77,25,17.34,BS,1659324483
299,port elizabeth,-33.918,25.5701,49.32,82,0,5.75,ZA,1659324255
300,kahului,20.8947,-156.47,84.22,66,40,23.02,US,1659324484
301,bereda,43.2686,-7.5406,64.15,100,67,6.17,ES,1659324484
302,vysokogornyy,50.1167,139.15,81.59,49,74,4.34,RU,1659324485
303,snasa,64.2457,12.3778,53.74,99,100,3.87,NO,1659324485
304,shama,33.6102,104.2852,72.88,60,100,4.25,CN,1659324486
305,san-pedro,4.7485,-6.6363,74.23,80,100,11.27,CI,1659324486
306,salinopolis,-0.6136,-47.3561,78.12,86,98,8.86,BR,1659324486
307,tuatapere,-46.1333,167.6833,50.68,78,100,9.69,NZ,1659324487
308,akureyri,65.6835,-18.0878,46.33,71,100,11.5,IS,1659324487
309,dauriya,49.9333,116.8667,81.41,37,40,9.75,RU,1659324488
310,korla,41.7597,86.1469,84.92,30,72,15.5,CN,1659324488
311,akyab,20.15,92.9,85.75,72,99,1.36,MM,1659324489
312,ketchikan,55.3422,-131.6461,63.07,77,75,12.66,US,1659324489
313,sioux lookout,50.1001,-91.917,59.07,94,100,8.05,CA,1659324455
314,kavaratti,10.5669,72.642,78.37,85,100,25.7,IN,1659324490
315,ramhormoz,31.28,49.6035,93.09,47,2,4.36,IR,1659324490
316,baker city,44.7749,-117.8344,89.31,29,20,11.5,US,1659324491
317,kambove,-10.8764,26.5969,57.4,49,0,4.12,CD,1659324491
318,kutum,14.2,24.6667,67.6,78,100,7.63,SD,1659324492
319,geraldton,-28.7667,114.6,72.01,56,75,32.21,AU,1659324492
320,san quintin,30.4833,-115.95,71.02,76,2,8.84,MX,1659324493
321,cherskiy,68.75,161.3,72.73,32,35,16.44,RU,1659324493
322,hashtgerd,35.9642,50.6858,69.64,55,96,3.49,IR,1659324494
323,batouri,4.4333,14.3667,66.06,94,99,3.44,CM,1659324494
324,marzuq,14.4,46.4667,74.43,69,62,12.44,YE,1659324494
325,sorland,67.667,12.6934,53.46,79,100,13.62,NO,1659324495
326,oudtshoorn,-33.5907,22.2014,37.76,80,0,1.25,ZA,1659324495
327,merritt,50.1123,-120.7942,79.2,33,0,5.79,CA,1659324496
328,buta,2.7858,24.73,69.24,99,100,1.86,CD,1659324496
